# Lines starting with # will be ignored for data reading purposes
# This file stores the query counts for various runs of subcore
#
# In the list of agent preferences, agents are separated by | and the series of numbers are the construction arguments for fractions
# to build the prefrences. Specifically, numerator followed by denominator, repeat.
#
# Columns are:
# List of agent preferences; trim count; valuation count
24398291002487230 38216274355754621, 59314284909930880 38216274355754621, 38160831989073390 38216274355754621, 930770106174530 721061780297257, 428234392493720 38216274355754621, 22049963821279530 38216274355754621, 199403815285190 103008825756751, 3916409586520080 38216274355754621, 33686534017365050 38216274355754621, 76898562740340750 38216274355754621; 22607093606338005 21713734199819911, 21475059671190920 21713734199819911, 5704636979531550 21713734199819911, 27804076838890805 21713734199819911, 128639057779915 261611255419517, 18334636188841430 21713734199819911, 22164229248153825 21713734199819911, 44866270424489785 21713734199819911, 41851210166743795 21713734199819911, 1653087078286050 21713734199819911; 27461394712480075 18064808715627523, 18497025901655765 18064808715627523, 2710326633122680 18064808715627523, 8374514208489040 18064808715627523, 34693768831256705 18064808715627523, 37789743324587125 18064808715627523, 6241555305096480 18064808715627523, 6138730363812980 18064808715627523, 4908457099373105 18064808715627523, 33832570776401275 18064808715627523; 41646394526061170 53206980696886667, 20094527546160520 53206980696886667, 88932224383960070 53206980696886667, 53513754494902580 53206980696886667, 24824635332104220 53206980696886667, 12314961908289410 7600997242412381, 79834413044990700 53206980696886667, 51573171660997100 53206980696886667, 44389297085350480 53206980696886667, 41056655536313960 53206980696886667; | 9 | 17
19414884501984910 23494515588948799, 9878155282232880 23494515588948799, 12756551923713605 23494515588948799, 42346032847565065 23494515588948799, 20927590316991900 23494515588948799, 29361388959792075 23494515588948799, 36729114625012155 23494515588948799, 15573822454674700 23494515588948799, 35455183760615225 23494515588948799, 12502431216905475 23494515588948799; 6727974353807945 16998573541477784, 9973900848170345 8499286770738892, 8045929478513835 4249643385369446, 5812337603180235 8499286770738892, 7378910118507695 16998573541477784, 6659097704258135 8499286770738892, 11731500482982735 8499286770738892, 4063603528528025 2124821692684723, 7561079605019445 16998573541477784, 15271551917980315 16998573541477784; 2652592988457245 7269351280776344, 672283584128095 1817337820194086, 777924328003925 908668910097043, 37673347446199355 21808053842329032, 7050943906047685 3634675640388172, 7019168409663025 3634675640388172, 1212676823846230 908668910097043, 234522272875590 908668910097043, 1926096381350725 21808053842329032, 8210758844383075 7269351280776344; 80382997109866960 42620327798472141, 16457324836373410 42620327798472141, 19097282963556920 42620327798472141, 3657091284012810 14206775932824047, 59825628399554960 42620327798472141, 23085221993052550 14206775932824047, 9741583814261440 42620327798472141, 77771063662857130 42620327798472141, 15590933756168680 42620327798472141, 22369841203628610 14206775932824047; | 3 | 13
2182183961717095 11704510249897636, 4988741968650185 5852255124948818, 11451917729486565 11704510249897636, 39741684431268795 23409020499795272, 44293292002890595 23409020499795272, 9365289786201375 11704510249897636, 10801587126699585 11704510249897636, 13368533916256525 11704510249897636, 28785598056459855 23409020499795272, 6975637592010445 23409020499795272; 14627747768543195 16984007206139489, 22212081610824580 16984007206139489, 17132466831443885 33968014412278978, 44170611376440215 33968014412278978, 18869911861638680 16984007206139489, 16653994944221795 33968014412278978, 42471551569941855 33968014412278978, 22448894292542685 33968014412278978, 20590642422507610 16984007206139489, 44201857781171215 33968014412278978; 425964911053414 841172378535973, 12133153119417032 7570551406823757, 4867069020237266 2523517135607919, 3850364343143320 2523517135607919, 4341552451017202 7570551406823757, 5256970392083690 7570551406823757, 364538425186058 688231946074887, 562846434094716 841172378535973, 12687503436177998 7570551406823757, 2224809796020082 7570551406823757; 14332317211070120 38114963160494711, 48618371510946580 38114963160494711, 5077337929047440 38114963160494711, 43333567683028710 38114963160494711, 77070017076656170 38114963160494711, 18930604958664790 38114963160494711, 754458418355900 1657172311325857, 85640203988390450 38114963160494711, 21990453290440880 38114963160494711, 48804214334516270 38114963160494711; | 11 | 18
2391106327251870 3192022138755667, 5927839596204735 3648025301435048, 25724874804887095 25536177110045336, 2166183480507095 3648025301435048, 2345034022222345 3648025301435048, 14178241637975365 12768088555022668, 5462076842150220 3192022138755667, 21309478766270775 25536177110045336, 8087762531784785 6384044277511334, 11721019078449675 25536177110045336; 17765316586544682 10055753457943181, 10212554098313178 10055753457943181, 7957662508063066 10055753457943181, 12035630239891750 10055753457943181, 2248264781873638 10055753457943181, 17896257206004024 10055753457943181, 11346414574861932 10055753457943181, 9716018641648228 10055753457943181, 2461259804512584 10055753457943181, 8918156137718728 10055753457943181; 1939883906812061 2388764694151362, 153556071520857 398127449025227, 4850710339630823 4777529388302724, 658254028114429 2388764694151362, 1812880796959343 1194382347075681, 310137825386549 398127449025227, 540498455636657 796254898050454, 2586194866489171 1592509796100908, 2935918612265101 1592509796100908, 5103126552734435 4777529388302724; 4567058675046320 3665081900876987, 5851436276003202 3665081900876987, 2906839902568887 3665081900876987, 2177872903727630 3665081900876987, 171654699015152 3665081900876987, 4867842651455046 3665081900876987, 8912442331737115 3665081900876987, 4945784432671033 3665081900876987, 1921701986886738 3665081900876987, 328185149658747 3665081900876987; | 3 | 13
6033103105151288 10642196077274349, 14266561287509290 10642196077274349, 11256187811056192 10642196077274349, 2484678593674480 1520313725324907, 4177547823042488 3547398692424783, 8252527248964 3547398692424783, 13862732861086840 10642196077274349, 1657042553490122 1182466230808261, 730380830695036 10642196077274349, 15409460689238030 10642196077274349; 8608315618549815 9974294803043561, 7907418289541725 19948589606087122, 11788540731530845 19948589606087122, 3970155325536665 19948589606087122, 3596971581991440 9974294803043561, 17611834136301205 9974294803043561, 16773737290227480 9974294803043561, 19799757182516840 9974294803043561, 19217676601503825 9974294803043561, 4603196892080775 19948589606087122; 10993483741576580 27333419008486121, 31378264086992610 27333419008486121, 25185159269237880 27333419008486121, 15569695629015235 27333419008486121, 14982559353637775 27333419008486121, 27286554735037585 27333419008486121, 31658801666294050 27333419008486121, 35061962836725075 27333419008486121, 37244888248231830 27333419008486121, 43972820518112590 27333419008486121; 37409819171455065 27034883967357913, 38462620504906800 27034883967357913, 522250746931900 27034883967357913, 39472305492917580 27034883967357913, 29217563291314120 27034883967357913, 30395466755864290 27034883967357913, 19259577696140980 27034883967357913, 29585402703959865 27034883967357913, 37025627925061960 27034883967357913, 8998205385026570 27034883967357913; | 9 | 15
3590420651324780 12250461773059379, 89219298693888860 36751385319178137, 2832354269820360 12250461773059379, 23165552749177750 12250461773059379, 10723472656530410 36751385319178137, 6075435424917980 36751385319178137, 46735556019303460 36751385319178137, 81253041271955500 36751385319178137, 16154692348689040 36751385319178137, 9529124588509150 12250461773059379; 33215210529990 125365816018631, 8479961957874535 16172190266403399, 22905746205012835 16172190266403399, 30127225642076135 16172190266403399, 14184945470361895 16172190266403399, 7252551109541965 5390730088801133, 660181763790620 376097448055893, 13645386055120130 16172190266403399, 2017787566706895 5390730088801133, 3965014434492170 5390730088801133; 3136157305419535 7464068745408571, 36342975018400030 22392206236225713, 281317285873810 22392206236225713, 12425387608023955 7464068745408571, 26890441587303830 22392206236225713, 30261371679028525 22392206236225713, 11892385329058470 7464068745408571, 118820104060940 7464068745408571, 14583734313790285 7464068745408571, 3676502810591380 22392206236225713; 10522209300516452 8739920923605139, 499263062658006 301376583572591, 837554056683946 459995838084481, 3972827992022830 8739920923605139, 13258621860397224 8739920923605139, 6158829482018366 8739920923605139, 4965281882800660 8739920923605139, 7140594176917104 8739920923605139, 9726569737208554 8739920923605139, 1262118910093052 8739920923605139; | 13 | 19
33991057168688685 20897105131979461, 19718678242538515 20897105131979461, 6355156598955930 2985300733139923, 10963769050629090 20897105131979461, 14277238855779510 20897105131979461, 10922108766018840 20897105131979461, 41132612697581945 20897105131979461, 1362599353086985 20897105131979461, 18885712052958560 20897105131979461, 13231178939820970 20897105131979461; 12616778626914515 30188965343859953, 17909594771672175 30188965343859953, 29248832898997900 30188965343859953, 39575698245177985 30188965343859953, 38704828842005700 30188965343859953, 19831713604298015 30188965343859953, 31540295726185385 30188965343859953, 28250440791355645 30188965343859953, 44437843821800540 30188965343859953, 39773626110191670 30188965343859953; 15427508979327615 26008866382771463, 9330843004275775 26008866382771463, 41728479994990715 26008866382771463, 29011762594918440 26008866382771463, 10294941668500295 26008866382771463, 1015238714632330 702942334669499, 16826122608004975 26008866382771463, 32467718291987035 26008866382771463, 37680679447799180 26008866382771463, 29756774796514390 26008866382771463; 5877906710639650 49026403267286703, 51397851914277200 49026403267286703, 80553119646256340 49026403267286703, 27061693202203040 49026403267286703, 3475311207549690 16342134422428901, 61412435920434250 49026403267286703, 29674703283571280 16342134422428901, 35821439818687900 49026403267286703, 72178771987291040 49026403267286703, 56510769999714700 49026403267286703; | 13 | 19
10630172057335420 19835682310044073, 29220333887231045 19835682310044073, 4376143461090145 19835682310044073, 4969703612830695 19835682310044073, 2920770765526145 1803243846367643, 37163426876328805 19835682310044073, 52837099752430 1803243846367643, 38698671636984605 19835682310044073, 4774202620428790 19835682310044073, 35814482430146900 19835682310044073; 35759440847816530 25665407443626571, 11803694676959710 25665407443626571, 17602956881615075 25665407443626571, 42807502875381145 25665407443626571, 44019403696940740 25665407443626571, 11740869194871720 25665407443626571, 35546633867040220 25665407443626571, 18843008768141300 25665407443626571, 13153889731709085 25665407443626571, 25376673895790185 25665407443626571; 11929195630301750 18004649304870123, 44970449582599700 54013947914610369, 34442238068331110 54013947914610369, 69343403587969580 54013947914610369, 86000220823242070 54013947914610369, 83419337366307410 54013947914610369, 11936169909459710 7716278273515767, 33142195793968910 54013947914610369, 4223534678655400 18004649304870123, 56810253630595490 54013947914610369; 1961894822060146 8801528186877331, 9633796755732016 8801528186877331, 10317959840802530 8801528186877331, 9864157999144426 8801528186877331, 6809266187824138 8801528186877331, 12340952631014768 8801528186877331, 7899933545157712 8801528186877331, 2457031822710798 8801528186877331, 12756920309800468 8801528186877331, 13973367954526308 8801528186877331; | 11 | 18
30846801379017320 37194777287661697, 52682402867059070 37194777287661697, 18558800441533410 37194777287661697, 19319472801541830 37194777287661697, 85011009096135770 37194777287661697, 37589111838970220 37194777287661697, 47839696466851370 37194777287661697, 34517702269665190 37194777287661697, 30829852807898950 37194777287661697, 14752922907943840 37194777287661697; 5240417866766926 2859919116539851, 3915171471861656 2859919116539851, 2491251417447656 8579757349619553, 5859867783375430 8579757349619553, 799738599171046 8579757349619553, 11388116338955474 8579757349619553, 4017142394148572 2859919116539851, 2918717595869900 8579757349619553, 11880458091176240 8579757349619553, 10941228471868322 8579757349619553; 26718556147350505 17658656912986051, 18922218560600095 17658656912986051, 18462294560246655 17658656912986051, 34831601243967680 17658656912986051, 12508410996981860 17658656912986051, 5121274793503495 17658656912986051, 14216758813165385 17658656912986051, 12814355366490680 17658656912986051, 6944281586737645 17658656912986051, 26046817060816510 17658656912986051; 44978919084527410 57556591888685849, 69031763139228520 57556591888685849, 84058702815813320 57556591888685849, 15712731394967340 57556591888685849, 48859309549975830 57556591888685849, 67017520259696120 57556591888685849, 72657792725326990 57556591888685849, 84334884484885420 57556591888685849, 84981154288822610 57556591888685849, 3933141143614930 57556591888685849; | 11 | 16
2554760898097760 4535415852826907, 2539363979905465 18141663411307628, 33713293512748335 18141663411307628, 4743887675848470 4535415852826907, 30749892836311515 18141663411307628, 1890448668313195 18141663411307628, 37807653752409065 18141663411307628, 7427881692169015 4535415852826907, 7432660906885805 9070831705653814, 944538485156115 18141663411307628; 13677242152603255 21477890780543236, 1846568874498975 21477890780543236, 10386281159778120 5369472695135809, 13559501124805505 10738945390271618, 13816059951594585 10738945390271618, 16881483252281155 21477890780543236, 41354819021425645 21477890780543236, 32578446363475235 21477890780543236, 195801748302380 413036361164293, 1962410437511675 21477890780543236; 15476645842683114 9925318590072427, 17900408889488680 9925318590072427, 13189805340980992 9925318590072427, 3404279560497066 9925318590072427, 14709430914445752 9925318590072427, 3318098290978230 9925318590072427, 17405610598111292 9925318590072427, 2636924580426712 9925318590072427, 594055065425526 9925318590072427, 10617926817686906 9925318590072427; 9967761825674415 22356173065568606, 29324928746064395 22356173065568606, 8783032335615345 22356173065568606, 17566453260611945 22356173065568606, 7558970434646285 22356173065568606, 15586278751363350 11178086532784303, 4048582775936545 2032379369597146, 22431420487361660 11178086532784303, 17852022085440085 22356173065568606, 11938752954881575 22356173065568606; | 9 | 17
